order_id,customer_id,placed_at,items,total,status,carrier,eta
1041,c-1016,2026-01-31,2,130.50,delivered,DPD,
1042,c-1012,2026-01-31,4,134.49,delivered,Royal Mail,
1043,c-1003,2026-01-31,2,318.00,delivered,Royal Mail,
1044,c-1008,2026-01-31,4,119.44,delivered,DPD,
1045,c-1010,2026-02-01,1,34.00,delivered,DPD,
1046,c-1003,2026-02-02,1,12.00,delivered,DPD,
1047,c-1008,2026-02-03,3,179.90,delivered,DPD,
1048,c-1008,2026-02-03,1,9.95,delivered,Royal Mail,
1049,c-1033,2026-02-03,1,72.50,delivered,Royal Mail,
1050,c-1012,2026-02-04,2,318.00,delivered,Royal Mail,
1051,c-1008,2026-02-05,4,369.00,delivered,DPD,
1052,c-1020,2026-02-06,4,248.93,delivered,Royal Mail,
1053,c-1039,2026-02-07,3,104.29,delivered,DPD,
1054,c-1032,2026-02-07,4,232.79,delivered,DPD,
1055,c-1021,2026-02-08,4,325.10,delivered,Royal Mail,
1056,c-1038,2026-02-08,2,233.10,delivered,DPD,
1057,c-1002,2026-02-09,2,30.50,delivered,Royal Mail,
1058,c-1028,2026-02-10,4,158.20,delivered,Royal Mail,
1059,c-1000,2026-02-10,2,228.00,delivered,DPD,
1060,c-1021,2026-02-11,3,89.25,delivered,Royal Mail,
1061,c-1009,2026-02-11,1,129.00,delivered,DPD,
1062,c-1039,2026-02-11,2,73.00,delivered,DPD,
1063,c-1037,2026-02-11,2,138.95,delivered,Royal Mail,
1064,c-1028,2026-02-11,2,40.80,delivered,DPD,
1065,c-1017,2026-02-12,3,131.49,delivered,DPD,
1066,c-1038,2026-02-13,1,58.00,delivered,DPD,
1067,c-1036,2026-02-13,1,39.00,delivered,DPD,
1068,c-1022,2026-02-14,3,94.99,delivered,DPD,
1069,c-1006,2026-02-15,4,160.55,delivered,Royal Mail,
1070,c-1011,2026-02-16,2,57.50,delivered,DPD,
1071,c-1013,2026-02-16,1,39.00,delivered,DPD,
1072,c-1029,2026-02-19,2,37.00,delivered,DPD,
1073,c-1010,2026-02-19,3,79.80,delivered,DPD,
1074,c-1007,2026-02-20,4,45.95,delivered,DPD,
1075,c-1017,2026-02-20,2,43.95,delivered,DPD,
1076,c-1004,2026-02-20,1,72.50,delivered,DPD,
1077,c-1036,2026-02-20,2,36.99,delivered,Royal Mail,
1078,c-1034,2026-02-21,1,39.00,delivered,DPD,
1079,c-1015,2026-02-21,1,24.99,delivered,DPD,
1080,c-1012,2026-02-21,1,6.80,delivered,Royal Mail,
1081,c-1005,2026-02-22,3,103.80,delivered,Royal Mail,
1082,c-1028,2026-02-22,2,63.99,delivered,DPD,
1083,c-1025,2026-02-23,2,69.09,delivered,Royal Mail,
1084,c-1000,2026-02-24,4,82.50,delivered,DPD,
1085,c-1032,2026-02-24,2,36.99,delivered,Royal Mail,
1086,c-1001,2026-02-26,1,129.00,delivered,DPD,
1087,c-1026,2026-02-27,3,234.80,delivered,DPD,
1088,c-1039,2026-03-02,2,19.90,delivered,Royal Mail,
1089,c-1039,2026-03-06,4,184.49,delivered,DPD,
1090,c-1007,2026-03-07,3,142.60,delivered,DPD,
1091,c-1021,2026-03-07,1,24.99,delivered,DPD,
1092,c-1019,2026-03-07,2,16.75,delivered,DPD,
1093,c-1015,2026-03-08,3,188.50,delivered,DPD,
1094,c-1007,2026-03-08,1,129.00,delivered,DPD,
1095,c-1024,2026-03-10,3,114.10,delivered,DPD,
1096,c-1037,2026-03-10,3,210.95,delivered,Royal Mail,
1097,c-1009,2026-03-11,1,12.00,delivered,DPD,
1098,c-1030,2026-03-12,4,358.99,delivered,DPD,
1099,c-1004,2026-03-13,1,24.99,delivered,Royal Mail,
1100,c-1006,2026-03-13,2,30.50,delivered,Royal Mail,
1101,c-1026,2026-03-13,2,31.79,delivered,Royal Mail,
1102,c-1014,2026-03-14,2,116.60,delivered,Royal Mail,
1103,c-1013,2026-03-14,3,157.00,delivered,DPD,
1104,c-1032,2026-03-15,1,44.10,delivered,Royal Mail,
1105,c-1033,2026-03-15,1,34.00,delivered,Royal Mail,
1106,c-1020,2026-03-17,3,67.45,delivered,DPD,
1107,c-1032,2026-03-17,3,232.49,delivered,DPD,
1108,c-1034,2026-03-18,3,41.74,delivered,DPD,
1109,c-1018,2026-03-19,1,34.00,delivered,Royal Mail,
1110,c-1025,2026-03-19,2,73.00,delivered,Royal Mail,
1111,c-1036,2026-03-20,2,70.00,delivered,Royal Mail,
1112,c-1001,2026-03-20,3,97.80,delivered,DPD,
1113,c-1018,2026-03-22,4,279.60,delivered,DPD,
1114,c-1027,2026-03-22,3,137.30,delivered,DPD,
1115,c-1039,2026-03-23,1,129.00,delivered,DPD,
1116,c-1005,2026-03-25,1,12.00,delivered,Royal Mail,
1117,c-1038,2026-03-25,3,174.00,delivered,Royal Mail,
1118,c-1012,2026-03-25,4,255.05,delivered,DPD,
1119,c-1021,2026-03-26,1,58.00,delivered,Royal Mail,
1120,c-1027,2026-03-26,3,150.00,delivered,Royal Mail,
1121,c-1038,2026-03-28,1,189.00,delivered,DPD,
1122,c-1003,2026-03-28,4,67.75,delivered,DPD,
1123,c-1017,2026-03-28,2,31.79,delivered,DPD,
1124,c-1018,2026-03-29,4,370.50,delivered,DPD,
1125,c-1015,2026-03-30,2,201.00,delivered,DPD,
1126,c-1006,2026-03-30,2,69.09,delivered,Royal Mail,
1127,c-1015,2026-03-31,1,189.00,delivered,DPD,
1128,c-1035,2026-04-01,2,40.80,delivered,DPD,
1129,c-1017,2026-04-03,3,220.00,delivered,DPD,
1130,c-1018,2026-04-04,4,147.90,delivered,Royal Mail,
1131,c-1035,2026-04-04,1,6.80,delivered,Royal Mail,
1132,c-1002,2026-04-07,4,153.10,delivered,Royal Mail,
1133,c-1024,2026-04-07,4,135.49,delivered,Royal Mail,
1134,c-1026,2026-04-08,1,34.00,delivered,DPD,
1135,c-1037,2026-04-09,1,24.99,delivered,DPD,
1136,c-1005,2026-04-12,1,72.50,delivered,DPD,
1137,c-1036,2026-04-12,3,252.99,delivered,Royal Mail,
1138,c-1014,2026-04-13,2,16.75,delivered,DPD,
1139,c-1037,2026-04-13,4,134.00,delivered,DPD,
1140,c-1021,2026-04-13,4,271.50,delivered,Royal Mail,
1141,c-1014,2026-04-14,1,6.80,delivered,Royal Mail,
1142,c-1012,2026-04-14,4,135.49,delivered,Royal Mail,
1143,c-1005,2026-04-15,1,72.50,delivered,DPD,
1144,c-1029,2026-04-16,3,239.90,delivered,Royal Mail,
1145,c-1036,2026-04-16,3,217.20,delivered,DPD,
1146,c-1023,2026-04-17,4,259.99,delivered,DPD,
1147,c-1004,2026-04-20,3,163.94,delivered,DPD,
1148,c-1023,2026-04-21,3,234.80,delivered,Royal Mail,
1149,c-1038,2026-04-21,4,251.20,delivered,DPD,
1150,c-1030,2026-04-21,3,297.00,delivered,DPD,
1151,c-1022,2026-04-22,3,191.60,delivered,Royal Mail,
1152,c-1036,2026-04-23,2,92.00,delivered,DPD,
1153,c-1011,2026-04-24,2,201.50,delivered,Royal Mail,
1154,c-1026,2026-04-25,4,201.10,delivered,Royal Mail,
1155,c-1009,2026-04-26,1,129.00,delivered,Royal Mail,
1156,c-1014,2026-04-27,2,141.00,delivered,Royal Mail,
1157,c-1020,2026-04-27,4,469.00,delivered,DPD,
1158,c-1027,2026-04-30,2,111.50,delivered,Royal Mail,
1159,c-1035,2026-04-30,4,115.80,delivered,DPD,
1160,c-1028,2026-04-30,1,18.50,delivered,DPD,
1161,c-1036,2026-04-30,1,129.00,delivered,DPD,
1162,c-1017,2026-05-01,2,116.60,delivered,DPD,
1163,c-1024,2026-05-02,3,55.95,delivered,DPD,
1164,c-1030,2026-05-03,3,226.00,delivered,DPD,
1165,c-1010,2026-05-03,1,18.50,delivered,Royal Mail,
1166,c-1012,2026-05-06,2,201.00,delivered,Royal Mail,
1167,c-1002,2026-05-06,4,374.10,delivered,DPD,
1168,c-1012,2026-05-08,3,212.10,delivered,DPD,
1169,c-1010,2026-05-09,4,119.99,delivered,Royal Mail,
1170,c-1003,2026-05-09,2,153.99,delivered,Royal Mail,
1171,c-1034,2026-05-09,1,129.00,delivered,DPD,
1172,c-1004,2026-05-10,3,87.95,delivered,Royal Mail,
1173,c-1021,2026-05-12,1,72.50,delivered,DPD,
1174,c-1038,2026-05-13,1,72.50,delivered,DPD,
1175,c-1026,2026-05-14,2,69.09,delivered,DPD,
1176,c-1020,2026-05-14,2,201.50,delivered,Royal Mail,
1177,c-1028,2026-05-14,2,153.99,delivered,Royal Mail,
1178,c-1022,2026-05-15,2,153.99,delivered,DPD,
1179,c-1010,2026-05-16,3,252.99,delivered,Royal Mail,
1180,c-1001,2026-05-17,1,39.00,delivered,Royal Mail,
1181,c-1002,2026-05-18,4,334.50,delivered,DPD,
1182,c-1013,2026-05-19,3,286.00,delivered,DPD,
1183,c-1037,2026-05-20,4,91.80,delivered,DPD,
1184,c-1032,2026-05-21,2,116.60,delivered,Royal Mail,
1185,c-1021,2026-05-22,1,39.00,delivered,DPD,
1186,c-1039,2026-05-24,1,44.10,delivered,DPD,
1187,c-1019,2026-05-26,3,88.05,delivered,DPD,
1188,c-1028,2026-05-27,1,44.10,delivered,DPD,
1189,c-1031,2026-05-27,2,37.00,delivered,DPD,
1190,c-1026,2026-05-28,2,76.50,delivered,DPD,
1191,c-1023,2026-05-28,1,189.00,delivered,Royal Mail,
1192,c-1031,2026-05-28,4,217.75,delivered,DPD,
1193,c-1019,2026-05-28,3,69.50,delivered,DPD,
1194,c-1031,2026-06-01,1,24.99,delivered,Royal Mail,
1195,c-1009,2026-06-02,3,85.00,delivered,DPD,
1196,c-1012,2026-06-03,1,9.95,delivered,DPD,
1197,c-1020,2026-06-03,1,129.00,delivered,Royal Mail,
1198,c-1024,2026-06-04,2,173.10,delivered,DPD,
1199,c-1010,2026-06-05,2,82.99,delivered,DPD,
1200,c-1025,2026-06-05,2,116.00,delivered,DPD,
1201,c-1016,2026-06-05,1,18.50,delivered,DPD,
1202,c-1024,2026-06-07,1,44.10,delivered,DPD,
1203,c-1026,2026-06-09,3,265.50,delivered,Royal Mail,
1204,c-1023,2026-06-09,1,39.00,delivered,Royal Mail,
1205,c-1029,2026-06-10,2,51.00,delivered,DPD,
1206,c-1026,2026-06-10,1,44.10,delivered,DPD,
1207,c-1018,2026-06-10,4,266.49,delivered,DPD,
1208,c-1008,2026-06-10,1,58.00,delivered,DPD,
1209,c-1004,2026-06-11,4,241.80,delivered,DPD,
1210,c-1002,2026-06-12,2,153.99,delivered,DPD,
1211,c-1010,2026-06-13,4,293.29,delivered,DPD,
1212,c-1023,2026-06-14,1,18.50,delivered,DPD,
1213,c-1018,2026-06-15,1,18.50,delivered,DPD,
1214,c-1003,2026-06-16,3,131.00,delivered,Royal Mail,
1215,c-1012,2026-06-17,1,129.00,delivered,DPD,
1216,c-1005,2026-06-17,3,160.10,delivered,DPD,
1217,c-1034,2026-06-18,4,83.89,delivered,DPD,
1218,c-1000,2026-06-18,2,70.00,delivered,Royal Mail,
1219,c-1038,2026-06-18,3,123.40,delivered,DPD,
1220,c-1015,2026-06-20,4,137.80,delivered,DPD,
1221,c-1007,2026-06-21,2,43.95,delivered,DPD,
1222,c-1019,2026-06-22,2,58.99,delivered,DPD,
1223,c-1009,2026-06-22,1,6.80,delivered,DPD,
1224,c-1023,2026-06-23,3,192.99,delivered,Royal Mail,
1225,c-1022,2026-06-23,4,261.55,delivered,DPD,
1226,c-1038,2026-06-23,4,245.78,delivered,Royal Mail,
1227,c-1005,2026-06-24,3,180.00,delivered,Royal Mail,
1228,c-1018,2026-06-25,1,44.10,delivered,DPD,
1229,c-1022,2026-06-25,3,272.10,delivered,DPD,
1230,c-1030,2026-06-26,2,116.60,delivered,DPD,
1231,c-1025,2026-06-29,1,72.50,delivered,DPD,
1232,c-1025,2026-07-01,2,201.50,delivered,DPD,
1233,c-1001,2026-07-01,4,58.95,delivered,Royal Mail,
1234,c-1030,2026-07-01,2,49.98,delivered,DPD,
1235,c-1006,2026-07-01,2,195.80,delivered,DPD,
1236,c-1004,2026-07-02,4,72.85,delivered,DPD,
1237,c-1039,2026-07-03,2,213.99,delivered,Royal Mail,
1238,c-1025,2026-07-04,1,12.00,delivered,DPD,
1239,c-1034,2026-07-04,1,58.00,delivered,DPD,
1240,c-1015,2026-07-06,4,213.90,delivered,DPD,
1241,c-1026,2026-07-07,4,327.09,delivered,DPD,
1242,c-1000,2026-07-09,1,6.80,delivered,Royal Mail,
1243,c-1031,2026-07-09,3,145.75,delivered,DPD,
1244,c-1007,2026-07-09,3,43.80,delivered,DPD,
1245,c-1032,2026-07-11,4,100.99,delivered,Royal Mail,
1246,c-1015,2026-07-11,2,56.10,delivered,DPD,
1247,c-1023,2026-07-12,3,150.60,delivered,Royal Mail,
1248,c-1025,2026-07-13,3,123.40,delivered,DPD,
1249,c-1011,2026-07-13,3,65.79,delivered,DPD,
1250,c-1020,2026-07-14,4,197.10,delivered,Royal Mail,
1251,c-1036,2026-07-16,3,130.00,delivered,Royal Mail,
1252,c-1022,2026-07-17,4,110.80,delivered,Royal Mail,
1253,c-1003,2026-07-18,3,101.49,delivered,DPD,
1254,c-1019,2026-07-19,1,6.80,delivered,Royal Mail,
1255,c-1000,2026-07-20,2,106.50,delivered,DPD,
1256,c-1026,2026-07-20,1,34.00,delivered,Royal Mail,
1257,c-1036,2026-07-21,2,82.99,delivered,DPD,
1258,c-1016,2026-07-21,3,252.99,delivered,DPD,
1259,c-1030,2026-07-21,1,12.00,delivered,DPD,
1260,c-1004,2026-07-22,1,24.99,delivered,DPD,
1261,c-1003,2026-07-22,4,236.98,delivered,DPD,
1262,c-1020,2026-07-23,2,233.10,delivered,DPD,
1263,c-1016,2026-07-23,1,9.95,delivered,Royal Mail,
1264,c-1004,2026-07-23,4,94.39,delivered,DPD,
1265,c-1014,2026-07-24,2,48.95,delivered,DPD,
1266,c-1007,2026-07-25,1,58.00,delivered,DPD,
1267,c-1029,2026-07-25,1,189.00,delivered,Royal Mail,
1268,c-1026,2026-07-27,4,83.00,delivered,DPD,
1269,c-1011,2026-07-27,2,116.60,delivered,Royal Mail,
1270,c-1030,2026-07-27,3,241.50,delivered,DPD,
1271,c-1022,2026-07-29,1,9.95,delivered,Royal Mail,
1272,c-1025,2026-07-30,3,154.30,delivered,DPD,
1273,c-1001,2026-07-30,3,30.80,delivered,Royal Mail,
1274,c-1028,2026-07-31,2,51.00,delivered,Royal Mail,
1275,c-1007,2026-08-01,3,174.80,delivered,Royal Mail,
1276,c-1014,2026-08-01,4,353.50,delivered,DPD,
1277,c-1005,2026-08-01,2,78.10,delivered,Royal Mail,
1278,c-1005,2026-08-01,3,226.00,delivered,Royal Mail,
1279,c-1021,2026-08-04,2,70.00,delivered,Royal Mail,
1280,c-1011,2026-08-04,3,234.80,delivered,Royal Mail,
1281,c-1014,2026-08-05,2,111.50,delivered,Royal Mail,
1282,c-1005,2026-08-06,2,163.00,delivered,Royal Mail,
1283,c-1034,2026-08-07,2,258.00,delivered,Royal Mail,
1284,c-1035,2026-08-07,1,72.50,delivered,Royal Mail,
1285,c-1003,2026-08-08,2,62.60,delivered,DPD,
1286,c-1028,2026-08-08,3,280.00,delivered,DPD,
1287,c-1030,2026-08-09,3,196.95,delivered,DPD,
1288,c-1012,2026-08-10,1,6.80,delivered,DPD,
1289,c-1032,2026-08-10,4,66.73,delivered,Royal Mail,
1290,c-1013,2026-08-12,4,314.00,delivered,Royal Mail,
1291,c-1017,2026-08-13,1,39.00,delivered,Royal Mail,
1292,c-1013,2026-08-16,1,44.10,shipped,DPD,2026-08-20
1293,c-1004,2026-08-16,2,82.45,shipped,DPD,2026-08-20
1294,c-1024,2026-08-16,1,18.50,shipped,Royal Mail,2026-08-20
1295,c-1036,2026-08-18,4,207.60,shipped,DPD,2026-08-22
1296,c-1024,2026-08-19,2,187.00,picking,,2026-08-22
1297,c-1031,2026-08-19,2,201.50,picking,,2026-08-22
1298,c-1037,2026-08-20,2,51.00,picking,,2026-08-23
1299,c-1017,2026-08-20,4,160.09,picking,,2026-08-23
1300,c-1026,2026-08-20,1,58.00,picking,,2026-08-23
